('37271406470601066', '0758', '262', '240', False)
('8863905226857159230', '0351', '227', '102', True)
('51183228350018577', '0250', '995', '306', True)
('21640175033486137', '0942', '466', '730', True)
('7585980518859', '0182', '335', '073', False)
('5248139662647', '7844', '115', '351', False)
('5254713495604845', '8966', '875', '383', False)
('750122228632612', '4740', '181', '461', False)
('0817725498225407052', '7043', '432', '919', False)
('378584678501807', '0777', '797', '628', True)
('76377796602477067', '0291', '652', '437', True)
('2994178410439', '6542', '426', '511', False)
('8996438650112', '0278', '223', '143', False)
('72495747549859731', '0443', '515', '555', True)
('25138462568421683', '1230', '288', '799', True)
('247322298764665194', '0330', '093', '510', True)
('4585940067115', '9832', '033', '597', False)
('684817544356777', '1146', '175', '654', True)
('5359136933537993', '0439', '635', '709', True)
('719935167307353', '0682', '657', '759', False)
('27438367011112', '1924', '016', '424', False)
('8120012173275603271', '0229', '504', '997', True)
('399832299479380253', '0269', '283', '967', True)
('330367212280790', '0975', '222', '978', True)
('648920476396298379', '0934', '804', '228', True)
('60322821220530483', '0575', '553', '550', False)
('68249483289189', '1190', '420', '643', False)
('79567956324663', '0837', '277', '524', False)
('3867166822432533552', '0678', '045', '482', False)
('163886197525277', '5948', '901', '152', False)
('08980872540690', '1041', '308', '2', False)
('7464356991043', '0987', '272', '490', True)
('64485675582238852', '0144', '463', '476', True)
('8383715707667', '1261', '309', '922', False)
('2198414888636', '1182', '750', '193', True)
('0777767516961047223', '1178', '283', '064', True)
('6364826778893532', '1183', '464', '531', False)
('6687130911365692', '0467', '186', '084', False)
('426923661470546334', '6981', '643', '053', False)
('771565776801024009', '1056', '361', '297', True)
('8274167476065641897', '1242', '928', '561', False)
('7686852567967576821', '1280', '941', '299', False)
('906674639094514377', '0829', '633', '269', False)
('903360607890700', '0663', '343', '220', True)
('49705253448440537', '0951', '710', '215', False)
('834777310510314111', '0866', '015', '299', True)
('8309989710675', '0897', '986', '609', True)
('9119704942491', '0985', '553', '500', False)
('3867094675571722', '0171', '290', '377', True)
('179143420383831583', '0281', '269', '781', True)
('5715887350341247042', '1087', '934', '957', True)
('20837394768621677', '0356', '742', '881', False)
('854295151234882103', '0257', '280', '844', False)
('802819632834475592', '3085', '697', '517', False)
('050672271027217586', '8660', '508', '289', False)
('0350926451503868', '0926', '013', '334', False)
('76095648499589', '1297', '787', '178', False)
('1284361449823508487', '8381', '766', '056', False)
('082241422374362328', '0271', '865', '898', True)
('64030465442148115', '0965', '354', '540', False)
('3529098786350387207', '1876', '789', '902', False)
('4184152928484566', '1180', '677', '987', True)
('84051139424240791', '0695', '828', '717', False)
('9798188332211137253', '1176', '726', '650', True)
('6205389237531157681', '0126', '817', '984', True)
('1587135962123306', '1005', '793', '278', False)
('348940148946061', '0529', '630', '486', False)
('40193594794343883', '0235', '729', '242', False)
('2487791403620208', '1070', '370', '589', True)
('9741527969817', '0175', '522', '426', False)
('37840001027214', '0480', '363', '993', False)
('4841441290338', '0469', '254', '926', False)
('1500023486294305448', '7579', '151', '112', False)
('25538986927877711', '0388', '555', '452', False)
('62210375925716', '0963', '097', '377', True)
('9741493155139', '0597', '102', '777', True)
('53198261684763', '1067', '753', '878', True)
('399549055033588', '0167', '573', '842', True)
('464636940054821449', '6388', '857', '829', False)
('97970884401371', '1029', '760', '171', True)
('1892571293373139', '8199', '857', '672', False)
('1153875405749696', '0357', '237', '178', True)
('83919207431025', '1168', '314', '461', True)
('94941638722391239', '0944', '873', '148', False)
('2807005859787514934', '0598', '915', '351', False)
('41532519528593', '0158', '725', '521', True)
('27389765126925793', '0344', '919', '703', True)
('5541249120286', '0657', '057', '741', True)
('7097475635213283090', '1237', '277', '523', False)
('0285619390245', '1073', '123', '148', True)
('601123775551107281', '1230', '333', '930', False)
('895498062695314221', '0175', '515', '834', True)
('1301245087489873', '0493', '113', '323', True)
('8593511451861703158', '9076', '742', '109', False)
('062057581801464786', '0437', '570', '452', True)
('64142620861198', '3087', '055', '620', False)
('9022490740520475726', '0492', '751', '730', False)
('907546578026818635', '0238', '914', '610', False)
('6734053469481', '1045', '199', '045', False)
('0090113852928137040', '0966', '661', '781', True)
('23418285687415039', '1061', '241', '409', True)
('3814975870368571', '0683', '711', '747', True)
('50706740889958362', '0839', '643', '481', True)
('2281408592537', '0387', '377', '135', True)
('1948699170430059319', '0374', '371', '244', False)
('19851607847253', '0495', '574', '298', False)
('1907740269262542', '4896', '002', '055', False)
('67227057233049390', '0246', '904', '496', True)
('55953338082385', '6956', '576', '180', False)
('228856773574687', '0433', '699', '110', True)
('15151380403225351', '1038', '037', '996', False)
('099995619164307', '1193', '566', '068', True)
('2975241408421136', '0565', '459', '033', True)
('26797985590927', '3263', '931', '222', False)
('55491915370659', '0279', '071', '851', True)
('375400690047443171', '0650', '342', '306', True)
('4318913202984373720', '5078', '953', '549', False)
('99315403781754', '0899', '327', '470', False)
('87486933357753013', '0326', '579', '495', True)
('0014894792089286307', '0659', '343', '784', False)
('6880001089984497561', '1078', '029', '053', True)
('736517321612404', '1288', '717', '200', True)
('23222093700048', '0196', '812', '807', True)
('739304184836363', '0837', '008', '849', True)
('946901503343146426', '1075', '526', '487', True)
('95916868256588909', '4222', '813', '395', False)
('14021701979702270', '0588', '694', '116', True)
('423424199408907998', '0426', '232', '765', True)
('8360371964686465', '0375', '976', '368', False)
('87381698109779857', '0974', '365', '412', False)
('345474584468673', '1057', '809', '790', True)
('1346452717291261608', '0829', '441', '163', False)
('2958007923812901984', '0878', '558', '465', True)
('4293940314476', '6325', '689', '590', False)
('61853751710406014', '1191', '499', '044', False)
('293360792882536', '0656', '289', '575', False)
('03907332822603', '0536', '572', '455', True)
('092287350883761694', '0878', '390', '147', False)
('9835333655488', '0642', '540', '451', True)
('6296794546646', '1171', '587', '409', False)
('9888791146042977226', '0678', '282', '121', True)
('48491307959309', '8052', '125', '326', False)
('88750207240149', '0955', '718', '568', True)
('79073346113432887', '0490', '629', '804', True)
('95331287043864936', '0833', '999', '252', True)
('876168017700057', '0471', '192', '862', False)
('38380586916183', '1180', '969', '183', True)
('19335347231906703', '0257', '626', '875', False)
('650589662597150794', '1281', '196', '308', True)
('50679633575857', '0891', '987', '487', True)
('1962656607584060', '0784', '231', '285', True)
('760476618670763138', '1272', '021', '406', False)
('91939542000052902', '0188', '117', '127', False)
('06676827980746032', '0676', '599', '967', True)
('7945611448209186', '2410', '304', '171', False)
('18505195346190', '1265', '700', '268', True)
('9921900024184366', '5782', '113', '608', False)
('9293230736401977684', '0982', '102', '628', True)
('10191885900249527', '0557', '143', '489', True)
('0259597543493194', '1245', '450', '715', False)
('19180791751877', '0890', '553', '007', False)
('4488221263699485', '0855', '047', '833', False)
('3548241497416', '0731', '077', '707', True)
('7564726536104295', '5720', '359', '041', False)
('57162595409293555', '1145', '900', '734', False)
('72993123057860', '0640', '415', '414', True)
('1470211579358', '0296', '122', '236', True)
('932295276541316711', '0865', '623', '894', False)
('5549745361775', '0425', '493', '382', True)
('9265376831237180', '0399', '227', '073', False)
('210794661105122', '0376', '493', '863', False)
('482329015790207', '8050', '873', '216', False)
('021362411952848', '2854', '856', '461', False)
('47792821389043', '1135', '539', '035', False)
('4407891190384239619', '0584', '192', '931', False)
('8576973353423357703', '0574', '579', '822', True)
('33418321182153632', '8796', '675', '099', False)
('56003543443730', '0540', '258', '253', False)
('62203582033894215', '1191', '902', '938', False)
('982512614608091789', '0870', '449', '493', True)
('841005222822927986', '0453', '495', '112', True)
('307908544726809', '0749', '760', '898', True)
('9762814612335', '0945', '735', '441', True)
('35805311543137', '0843', '825', '952', True)
('52609292050800991', '1129', '309', '605', False)
('1250853179383602224', '1029', '608', '719', True)
('36018279788318081', '0861', '335', '984', False)
('9309807436113208679', '0157', '153', '176', False)
('9523673260354', '0263', '836', '391', True)
('3184759708528503', '1044', '697', '243', False)
('59241112359161', '0632', '481', '990', True)
('67103311363214', '0154', '920', '374', True)
('76911948711715', '0573', '355', '479', False)
('0383207533455778', '6951', '195', '101', False)
('00801575568292934', '0676', '690', '343', True)
('0429779291715365917', '0941', '257', '473', True)
('13762925929424', '1170', '968', '416', False)
('5106904543853765374', '0649', '231', '435', True)
('9708485029929', '7855', '490', '431', False)
('877987820825667', '0558', '427', '747', False)
('88196226880004', '1188', '332', '685', True)
('1498558602199835822', '6397', '024', '045', False)
('6246005884060292450', '1294', '061', '517', True)
('4112256027086', '0282', '880', '391', True)
('5418614797802827', '0730', '319', '338', True)
('3726650549938627177', '0144', '911', '909', True)
('1109155064113590', '1045', '590', '031', False)
('2979783805619', '1160', '971', '316', False)
('392785186701381', '0925', '207', '712', True)
('012389083162225', '0962', '177', '033', False)
('607311646160315', '0392', '535', '065', True)
('639529236687239183', '0857', '777', '779', True)
('77024103361893', '0786', '040', '113', True)
('41255126310155733', '0496', '565', '485', True)
('375078177971853', '4663', '444', '516', False)
('433046266066253424', '0649', '622', '680', True)
('7056944879704', '4817', '457', '794', False)
('426442579943531', '0153', '060', '614', True)
('6226778317888', '1045', '982', '894', True)
('042283355061120935', '0771', '171', '750', True)
('8308353014166973274', '0838', '771', '907', True)
('8732770658789074', '6614', '176', '189', False)
('8683840222264', '0567', '167', '192', True)
('6784989578649355', '1188', '644', '859', False)
('8866622550990110', '0375', '279', '202', True)
('278092991595531', '8426', '591', '064', False)
('289008000434851664', '2673', '934', '150', False)
('323659215214060', '0744', '283', '785', False)
('31879553696428', '0675', '487', '275', True)
('7109392565431367416', '0244', '356', '817', True)
('87608873518068', '1156', '654', '941', True)
('60255642872960013', '1188', '676', '237', True)
('4646048321462880', '1082', '827', '636', True)
('743503727611347217', '1246', '009', '289', True)
('7463123125731197158', '0299', '942', '481', True)
('769801807456743326', '0785', '518', '674', False)
('1692776169328185745', '0667', '294', '966', False)
('2193046183126', '0692', '369', '978', True)
('6616188759804', '0127', '640', '061', True)
('2973865477786444018', '1645', '392', '261', False)
('31025163254738562', '1186', '832', '534', True)
('3109853846614', '0228', '599', '741', False)
('10918197875527271', '0390', '631', '481', False)
('7479463511914696', '1175', '236', '360', True)
('79013889727458', '0825', '506', '863', True)
('4838452160281641', '0777', '944', '559', True)
('22201130288956143', '6000', '917', '042', False)
('72626296137495', '0275', '225', '133', True)
('3758105593966', '0688', '939', '763', True)
('7816217005116', '0293', '856', '035', False)
('9971161920475585', '0262', '327', '970', False)
('7330314074862781', '0137', '711', '936', True)
('44352746763595907', '0525', '443', '430', True)
('0736087908775065963', '8752', '305', '606', False)
('424369806112204349', '0272', '465', '146', True)
('4198890739772', '0971', '026', '475', True)
('64564177398292', '1039', '999', '600', False)
('21726050767263', '0485', '640', '985', True)
('50713960026281', '1276', '443', '339', True)
('9694207955171', '0441', '627', '854', False)
('9364886703224421', '1074', '380', '661', False)
('2377037326659150870', '1157', '506', '687', True)
('542296541700182', '0358', '420', '440', True)
('1822496845591', '2668', '426', '914', False)
('0866241803430', '0737', '011', '924', True)
('641586263437367805', '1051', '912', '582', True)
('366184608407699720', '0427', '804', '673', False)
('60406176568294963', '1242', '115', '244', True)
('125754042976862', '0369', '169', '067', True)
('4302109144517904225', '0879', '665', '860', True)
('9146343722681400', '0483', '625', '645', False)
('29522532163060', '1188', '993', '703', True)
('20056984961087414', '0335', '061', '304', True)
('2083389634462343810', '0697', '233', '492', False)
('8006427068191', '1127', '417', '188', False)
('9078113719018853412', '8213', '632', '602', False)
('78052136990631447', '2779', '527', '709', False)
('9585209442374840', '0188', '713', '975', True)
('73862040957842', '8089', '218', '709', False)
('725962890219936426', '9093', '977', '048', False)
('7935405082504', '5947', '647', '345', False)
('235472383178835', '0553', '970', '395', True)
('613429779972280', '0657', '653', '813', False)
('629874059934322', '0548', '963', '930', True)
('4717212262071855006', '1037', '678', '849', True)
('7494884405802278', '0945', '928', '802', False)
('687281974190536', '6728', '469', '765', False)
('619094717381314833', '0681', '958', '233', False)
('582344421471803445', '9085', '495', '999', False)
('2734126989882992766', '1043', '222', '963', True)
('78146126537853846', '1147', '206', '640', False)
('6596231526667', '0663', '954', '989', True)
('17246546110759043', '1243', '890', '538', False)
('938923490198288', '1094', '962', '397', False)
('86865345984408', '0767', '134', '879', True)
('966753669288444477', '0253', '956', '794', True)
('0663559480038', '0430', '437', '601', True)
('0339971442596', '0859', '919', '228', False)
('09399095194632', '3896', '557', '181', False)
('4108494545871', '0594', '165', '566', True)
('12343263160815531', '0333', '722', '436', False)
('769857432729568', '1043', '019', '478', True)
('101552110169341', '0482', '799', '747', False)
('63039066290574692', '0879', '764', '688', True)
('776989380606118285', '1299', '960', '337', False)
('5785520613785853', '6101', '532', '480', False)
('7994657781022785719', '0658', '900', '362', True)
('37170134275757', '0266', '336', '070', True)
('8207916425989', '0890', '769', '587', False)
('654287256871221', '6246', '531', '017', False)
('6152922402208090395', '0859', '780', '313', True)
('90436312133560825', '0292', '339', '976', True)
('568635497480159', '0265', '915', '901', True)
('223388718547537438', '0633', '695', '458', False)
('6204321206296', '1054', '457', '705', False)
('6209659265215128', '0240', '086', '281', False)
('4984735483329796', '0666', '172', '677', False)
('301196859576441', '7151', '810', '756', False)
('902972710490310302', '1030', '792', '373', True)
('0587482573223', '0198', '867', '146', True)
('00524607917879065', '0675', '978', '233', False)
('6076560174649813259', '6310', '936', '615', False)
('4187445050405', '0735', '438', '472', True)
('7622521308001', '6012', '481', '117', False)
('57339136431268121', '1053', '838', '370', False)
('7954675797390044', '0859', '861', '769', True)
('605814084638199220', '0793', '124', '392', False)
('1114408134193', '0977', '317', '278', False)
('523116498133568608', '0964', '606', '369', True)
('641182526656618928', '6273', '137', '698', False)
('206534914190806224', '4159', '052', '119', False)
('3142253379512625913', '0236', '392', '525', True)
('63550216796662', '0349', '664', '805', False)
('75237065731386223', '0367', '571', '547', False)
('525687632626719', '0280', '797', '141', True)
('725354473031271', '0544', '476', '171', True)
('59344621832940', '0136', '432', '984', True)
('66865721803580', '0566', '945', '164', True)
('355038988523606242', '0396', '803', '177', True)
('1036263954524', '0266', '543', '954', False)
('2645708573928277', '5021', '560', '210', False)
('0747612102297256', '0368', '624', '714', False)
('59313905867663658', '0525', '525', '670', True)
('087968305918025', '0741', '842', '549', True)
('10709357482847', '1130', '347', '327', False)
('40237112217502636', '0192', '133', '365', False)
('1698861527409768959', '3500', '231', '500', False)
('394308069119551', '0175', '122', '676', True)
('37668594285687', '0667', '068', '166', True)
('786043499708744914', '1288', '327', '796', True)
('263087146935936', '1281', '331', '815', True)
('4295340274705264564', '0887', '818', '397', False)
('307028874124978', '1036', '858', '844', True)
('4251929541536007', '1072', '546', '999', True)
('82672616987704', '0481', '393', '160', False)
('32618688374101724', '1194', '659', '027', False)
('7234266918732197314', '0965', '149', '319', True)
('3625566181419', '1260', '085', '996', False)
('92544666549759304', '0631', '966', '623', True)
('628908866813186272', '0158', '998', '613', True)
('61888627610595943', '0630', '267', '507', True)
('2047661535269518357', '0826', '260', '115', True)
('776879009536698', '1147', '727', '454', True)
('1319471436466', '1099', '497', '440', False)
('17836322182682', '0236', '397', '934', True)
('5901118140545228', '0375', '602', '765', True)
('894929541924103762', '3082', '727', '604', False)
('5085176646805196841', '0768', '543', '161', True)
('2168947056766476', '0387', '571', '030', True)
('45125723054735545', '0662', '474', '176', False)
('4920500144115894624', '1061', '841', '030', False)
('3778334405258254701', '0860', '650', '284', True)
('037754708707749', '0150', '341', '264', True)
('532847238530772115', '0162', '116', '637', False)
('66266750653311', '6542', '950', '021', False)
('21291146020334', '0941', '370', '831', False)
('3243331256040536', '0442', '173', '445', False)
('3028358183740881057', '0130', '334', '568', True)
('6997259123645966', '0272', '014', '382', False)
('9178267770475918463', '0931', '726', '574', True)
('7832499793532', '0741', '732', '133', False)
('868024993752055', '1225', '029', '783', True)
('7285239927445', '1142', '925', '335', True)
('75224794042644', '6730', '563', '742', False)
('6635612885184509918', '3049', '154', '499', False)
('6244121741304463177', '0934', '854', '069', False)
('154862104562654741', '0426', '994', '028', True)
('62409699517434961', '0249', '332', '165', False)
('954964108351615938', '8398', '807', '056', False)
('81561708284982', '9485', '311', '084', False)
('7563540218661311', '0642', '834', '513', True)
('30039007955083', '2662', '546', '884', False)
('195143782449683', '0158', '972', '047', True)
('89806586475622905', '0851', '471', '888', True)
('1148234251502851960', '0876', '357', '928', True)
('2320146162070538791', '0474', '627', '574', False)
('93337711643064174', '7977', '236', '873', False)
('5446848372439', '0332', '756', '903', True)
('7661880578020639029', '0350', '847', '577', True)
('92441371294770015', '0535', '616', '055', False)
('6663376933542523', '1282', '563', '387', True)
('64646413096960', '4737', '322', '340', False)
('69071277249863788', '0373', '581', '994', False)
('1292572957588538919', '0432', '379', '036', False)
('6517961524723216', '0157', '026', '751', False)
('571262943720208507', '0146', '777', '757', False)
('55383412807621410', '0728', '235', '031', True)
('066867155593950', '0533', '241', '108', True)
('5647251190339', '1294', '558', '127', True)
('9340729990335519', '0487', '532', '315', True)
('549937642370044', '0870', '394', '306', True)
('258788935776194', '0243', '043', '842', True)
('29288536907288', '0433', '574', '279', True)
('0898002745951729826', '0534', '363', '286', True)
('28358444123955337', '0133', '787', '066', True)
('849763292149843609', '0795', '692', '015', False)
('0750924207921', '3207', '681', '629', False)
('7570062981662', '1282', '264', '244', True)
('25827236530108', '1198', '259', '585', False)
('886525168075990856', '6725', '948', '144', False)
('3785018329036963', '1080', '847', '878', True)
('5432137924426324727', '0786', '851', '006', False)
('7370599061639843126', '0830', '779', '574', True)
('647068106241769', '0378', '583', '532', True)
('8896159619637', '0678', '102', '179', True)
('17645409877845873', '0539', '159', '392', True)
('1980097228757136968', '0940', '173', '197', True)
('2321918048207089', '0892', '641', '806', False)
('5934770675309556050', '1138', '743', '636', False)
('577418188160746711', '0763', '773', '572', False)
('2893491293564495', '0135', '421', '695', True)
('94670611132529468', '0895', '462', '863', False)
('255384850808871341', '0583', '500', '614', False)
('48379931598223', '0796', '289', '612', True)
('3530785246930667939', '1036', '635', '416', True)
('67655846805845', '0390', '646', '465', False)
('18192443186682558', '1070', '527', '513', False)
('664514092961380556', '8390', '447', '505', False)
('4577525008255078125', '2044', '102', '170', False)
('6804279960141716231', '0860', '379', '048', True)
('45541565325526948', '1058', '038', '344', True)
('42739283151044', '0770', '476', '822', False)
('12596274997694', '0331', '368', '065', True)
('29126753283700676', '0143', '411', '208', False)
('74272429982430107', '0635', '783', '712', True)
('3870641452346747', '2922', '294', '965', False)
('5723978193603893', '3913', '488', '384', False)
('0391693980959654102', '0647', '693', '629', True)
('12358465689667383', '1140', '862', '377', False)
('1030366449013850', '0258', '537', '919', False)
('3321940766592136', '0267', '520', '848', True)
('8915685909914', '0364', '830', '013', True)
('78549610649142528', '0565', '616', '965', True)
('5959936238918879', '1273', '281', '925', False)
('076063651238569978', '1167', '506', '138', True)
('91496501372185506', '0625', '876', '286', False)
('09816639647859557', '1280', '422', '870', False)
('325719491761436', '0295', '731', '162', False)
('8360046887302601642', '0373', '789', '680', True)
('4753632185091762059', '0858', '229', '282', False)
('2940471223102', '0331', '998', '280', True)
('557005836488201', '0134', '862', '707', False)
('38605332016320', '0490', '166', '619', True)
('1658783782877', '7953', '563', '022', False)
('092574706574795824', '1148', '271', '260', True)
('76404453259441916', '0474', '493', '085', True)
('92573323862783248', '3171', '104', '890', False)
('999196276958773', '0850', '338', '270', True)
('22906721854644895', '2484', '296', '025', False)
('06207777278873329', '0960', '202', '562', False)
('80434812949935', '2161', '253', '535', False)
('96932292654026', '0147', '610', '005', True)
('8498443586533705432', '1278', '531', '335', False)
('044704101661473', '0453', '275', '495', True)
('6309871479548', '0270', '858', '790', True)
('4531115527293', '2997', '613', '283', False)
('43098481640624', '0399', '828', '186', False)
('38404873653058364', '0365', '837', '382', True)
('975087291624797', '0296', '577', '849', False)
('4119105500362253699', '1159', '892', '436', True)
('89414352790178436', '0558', '803', '032', True)
('9427314138195', '0450', '673', '073', True)
('639367195531373', '0176', '955', '832', True)
('7773394597434', '0429', '258', '733', True)
('5511867431992', '0178', '639', '563', True)
('0894841619733', '0368', '941', '616', True)
('03162784539475', '0544', '504', '045', True)
('8273941468949', '0327', '004', '267', False)
('53099206835751', '2448', '518', '897', False)
('82371863658255898', '0289', '862', '701', True)
('24397340813619', '0641', '264', '628', True)
('991572147336127474', '0957', '713', '633', True)
('60582158907787820', '0945', '292', '556', False)
('627645194164389', '0391', '484', '589', False)
('28642809249729806', '1293', '317', '107', True)
('75802414576628', '1081', '476', '691', True)
('7753032964094154958', '6802', '549', '553', False)
('77499487181366', '0694', '120', '662', True)
('6644297860068986510', '0753', '255', '299', True)
('3631945613999', '0860', '538', '690', False)
('050614525864259', '5501', '063', '302', False)
('2299412059707467522', '1296', '917', '885', True)
('91966028078627124', '0128', '596', '485', True)
('861929493167259761', '0873', '025', '996', True)
('157476982955967', '0735', '937', '472', False)
('37058513746961', '0299', '272', '349', True)
('787093659573160', '6210', '152', '949', False)
('9801286188238379', '0147', '258', '060', True)
('0361451395248417945', '0575', '079', '311', True)
('05323218878105565', '1233', '937', '078', True)
('9556930679520520397', '0537', '597', '569', False)
('805934522720138854', '0931', '674', '987', False)
('8347990668566323', '1130', '460', '201', True)
('928522995198662', '0497', '314', '865', False)
('195438900551294', '0681', '776', '105', False)
('1808985172682621', '0594', '949', '025', False)
('248019753305293', '1026', '359', '798', True)
('27789180654317452', '0984', '382', '119', False)
('540872362313867933', '0742', '924', '237', True)
('0175069006337012', '0178', '273', '379', False)
('513365145180284378', '8434', '891', '465', False)
('7385774667988141', '0656', '769', '870', False)
('11618557750569311', '0297', '921', '196', True)
('8084943387065407295', '1291', '761', '228', False)
('8262343602148', '0642', '543', '381', False)
('511366108910685', '0668', '006', '787', True)
('411093834154522576', '0842', '217', '192', False)
('7569735469394', '0341', '687', '179', False)
('3405971277971989', '1288', '172', '001', False)
('27911946090834527', '0332', '800', '869', False)
('57857695058249518', '0677', '252', '330', True)
('022165264537143262', '0765', '792', '551', True)
('80092579528118', '2204', '748', '258', False)
('314530029925846', '0983', '678', '956', True)
('2442956185468', '0138', '946', '023', True)
('01249347906820', '0841', '557', '277', False)
('252038957077915', '0898', '508', '440', True)
('9304688715721140184', '0995', '914', '785', False)
('851428020390673240', '1061', '622', '976', False)
('757403244632326981', '0729', '125', '574', True)
('75423167723260285', '0681', '361', '459', True)
('4655049116137313', '0525', '417', '091', True)
('5879846291076233', '0736', '147', '043', False)
('39937928249446487', '0188', '307', '396', False)
('8281657034893131', '7168', '095', '604', False)
('3235123620579578283', '0144', '781', '973', False)
('016302593334751703', '0388', '340', '947', False)
('0769906096649', '8048', '282', '558', False)
('1375874973965677764', '0292', '917', '627', False)
('66283171087565824', '0949', '891', '141', True)
('745287204968575', '0597', '339', '759', True)
('13176238807315210', '0289', '283', '928', True)
('0168525739103', '0229', '080', '848', True)
('12133221838695499', '0884', '336', '914', True)
('50175000041728126', '0852', '111', '061', False)
('05145102206743', '1183', '295', '838', True)
('5785096412900603336', '0575', '337', '311', True)
('2618280769610', '1067', '098', '402', True)
('6872106100936618021', '1277', '610', '543', True)
('41897403246821520', '0351', '856', '005', True)
('5854410055409005470', '5769', '453', '846', False)
('2525920041176', '0799', '011', '458', False)
('4120203004710', '7713', '698', '206', False)
('4599396168783220670', '0594', '164', '150', False)
('3270084955067', '0357', '484', '632', True)
('90438622498429', '1285', '103', '231', True)
('9255132629709464', '1278', '652', '329', False)
('366862049602799404', '0978', '157', '789', True)
('8516392395531446701', '0965', '354', '181', False)
('612071634232168593', '0333', '772', '302', False)
('2512788988006', '0129', '404', '794', False)
('45509824719346904', '0677', '012', '962', True)
('9484706589557717', '1042', '711', '182', True)
('95009583546566', '1184', '029', '610', True)
('74198922075711', '0995', '097', '105', True)
('3104412914831843', '0497', '579', '522', True)
('266981357038138610', '0667', '116', '034', True)
('3557796043913', '6957', '400', '237', False)
('5218902560632227786', '0347', '527', '861', False)
('932653630167624', '4814', '169', '740', False)
('59928528302335117', '1265', '107', '446', True)
('5330397536843914599', '0745', '935', '649', False)
('3685130427111316', '0536', '866', '449', False)
('35248538050611471', '0945', '421', '591', False)
('0426858803716', '0837', '413', '930', False)
('1849614436025077', '9216', '297', '653', False)
('47239833259014916', '0852', '794', '657', True)
('818306050836074', '0286', '135', '445', True)
('13542744466267569', '0731', '186', '052', False)
('3913343084633951', '0181', '246', '230', True)
('532840200719430243', '0569', '916', '625', True)
('7725026998932390', '1145', '858', '154', True)
('46540249624116', '0183', '035', '661', True)
('1925770620981589641', '0286', '327', '154', False)
('71397016449922', '0443', '350', '264', True)
('003955230502202163', '0454', '258', '174', True)
('4687194154752656', '3115', '686', '519', False)
('2254121084015778', '0929', '304', '757', False)
('5610078619135756', '1060', '255', '843', True)
('453160312169554', '0278', '403', '981', False)
('1656060394572', '0232', '125', '108', True)
('8452406741574', '0691', '230', '893', True)
('912212459681381', '9622', '941', '358', False)
('58824472282875945', '1298', '718', '005', False)
('1478602183136831', '0167', '837', '701', True)
('37244507289834', '8929', '574', '535', False)
('0067893319869986', '0772', '881', '992', True)
('660965709421019696', '3427', '235', '199', False)
('032229570324476209', '0366', '722', '204', False)
('5029961239326415', '0346', '933', '082', False)
('69416849461803861', '0588', '618', '195', False)
('027763500552069758', '0596', '324', '635', True)
('350584077354573454', '1234', '120', '670', True)
('7885378361759', '0286', '491', '079', False)
('17248739015259', '0635', '758', '143', True)
('96823781153796352', '0492', '535', '718', True)
('7707100100374988111', '1008', '733', '574', False)
('2787896800229425', '1141', '756', '327', False)
('7857594776460629', '0167', '211', '787', True)
('3510183624371313421', '1556', '218', '228', False)
('4834659188140', '1145', '103', '550', False)
('87773709636085688', '1275', '254', '921', True)
('640189189241604', '0663', '721', '516', True)
('62164095150082909', '1273', '540', '682', False)
('85196625493899', '1053', '503', '513', False)
('60420883493769566', '0441', '277', '127', False)
('0457483130483353', '1137', '578', '156', True)
('1212891004594', '0794', '302', '268', False)
('575525750726425', '5980', '804', '952', False)
('21097902764825367', '1126', '895', '238', False)
('8438593322534', '0391', '314', '064', True)
('3360918604952953', '0740', '949', '787', True)
('76917631733424871', '0251', '834', '457', False)
('8871142495405707735', '1271', '694', '974', True)
('9875308202510', '1245', '340', '716', True)
('00378252408869', '0843', '257', '066', False)
('930775198980462', '0269', '837', '659', False)
('9176688534474', '1068', '013', '018', False)
('69946762763627188', '1277', '148', '353', False)
('6195018575876', '0946', '896', '732', False)
('0069634857619823', '6769', '929', '483', False)
('241259796330190', '6594', '478', '437', False)
('98864224838655411', '0154', '288', '040', False)
('24703925857033964', '0332', '116', '147', False)
('205744511488226350', '1148', '133', '969', True)
('41819895973290495', '0949', '892', '160', False)
('5886544913111', '1244', '966', '089', True)
('494544716010046', '1173', '722', '541', True)
('8165273558711', '1056', '684', '201', True)
('66904078733762730', '8112', '558', '516', False)
('3314996930164946', '0653', '731', '414', False)
('5164093516812', '0198', '332', '168', True)
('931508981959154', '1092', '492', '491', True)
('669926805150763501', '0128', '165', '178', True)
('11666039568686950', '0335', '909', '101', False)
('8978028125093', '4602', '838', '783', False)
('902706560974645', '0787', '647', '805', True)
('448510640549711', '0796', '341', '509', True)
('1321625291397', '6035', '060', '323', False)
('7614200334849360', '0636', '493', '403', False)
('081977111335825', '1183', '097', '692', True)
('64637677522032619', '0567', '092', '338', False)
('70649727468245476', '0785', '416', '108', False)
('143900201740114', '1779', '948', '372', False)
('616864063376763427', '0362', '539', '028', True)
('958173487809612905', '0360', '740', '968', True)
('65374300326015', '0839', '145', '651', True)
('5097564345057', '0841', '225', '007', True)
('60610521400394871', '0594', '600', '836', False)
('1080705608877606', '0982', '208', '045', False)
('0155327388881631839', '7274', '033', '277', False)
('8175604330809660361', '0138', '314', '430', True)
('4381364601633', '0994', '153', '224', True)
('13576688557389185', '0960', '402', '402', True)
